key,de,en
<!MissingKey:Copper Coin>,Kupfermünze,Copper Coin
STATS_FINANCES,Finanzen,Finances
STATS_HIGHEST_MONEY,Höchstes Geld,Highest Money
STATS_TOTAL_MONEY,Geld insgesamt,Total Money
<!MissingKey:Helper>,Helfer,Helper
<!MissingKey:Lucky Echo>,Zufalls-Echo,Lucky Echo
STATS_MONEY_SOURCES,Geldquellen,Money Sources
<!MissingKey:Gold Coin>,Goldmünze,Gold Coin
STATS_OVERVIEW,Übersicht,Overview
<!MissingKey:Clicking>,Klicken,Clicking
<!MissingKey:Shockwave>,Schockwelle,Shockwave
<!MissingKey:Silver Coin>,Silbermünze,Silver Coin
