key,base,multiplier,flat_offset
additional_coin_value_large,1.8,800,0
additional_coin_value_medium,1.8,200,0
additional_coin_value_small,1.8,40,0
additional_coin_value_multiplier_large,1.9,600,0
additional_coin_value_multiplier_medium,1.9,150,0
additional_coin_value_multiplier_small,1.9,30,0
coins_trigger_coins,0,0,25000
coin_flip_speed_large,1.5,4000,0
coin_flip_speed_medium,1.5,1500,0
coin_flip_speed_small,1.5,500,0
helper_efficiency,1.9,30,0
helper_trigger_large_coins,0,0,6000
helper_trigger_medium_coins,0,0,600
hover_small_coins,0,0,1000
reflip_chance,1.9,150,0
small_coin,1.3,2,0
medium_coin,1.3,200,0
large_coin,1.3,5000,0
helper,1.45,10,0
