key,de,en
CREDITS_CATEGORY_TRANSLATION,Übersetzung,Translation
CLOSE_GAME,Spiel beenden,Close Game
CREDITS_CATEGORY_CODE,Code,Code
OPTIONS_CREDITS,Credits,Credits
VOLUME_MUSIC,Musik,Music
VOLUME_MASTER,Master,Master
CREDITS_CATEGORY_MUSIC,Music,Music
VOLUME_SOUND,Sound,Sound
CREDITS_CATEGORY_SOUND,Sound,Sound
OPTIONS_GENERAL,Allgemein,General
LANG_GERMAN,Deutsch,German
OPTIONS_AUDIO,Audio,Audio
OPTION_HIDE_MONEY_LABELS,Geldnummern ausblenden,Hide Money Labels
OPTIONS_DISPLAY,Anzeige,Display
LANG_ENGLISH,Englisch,English
OPTION_FULLSCREEN,Vollbild,Fullscreen
OPTION_LANGUAGE, Sprache,Language
<!MissingKey:Testing>,Testen,Testing
CREDITS_CATEGORY_ART,Kunst,Art
GAME_BY,Gamblers Table von greenpixels und Bossforge,Gamblers Table by greenpixels and Bossforge
OPTIONS,Optionen,Options
CREDITS_CATEGORY_TOOLS,Tools,Tools
CREDITS_CATEGORY_OTHER,Spezieller Dank an,Special Thanks
